"GEO_ID","NAME","B20017_001E","B20017_001M","B20017_002E","B20017_002M","B20017_003E","B20017_003M","B20017_004E","B20017_004M","B20017_005E","B20017_005M","B20017_006E","B20017_006M","B20017_007E","B20017_007M"
"id","Geographic Area Name","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Other (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Other (dollars)"
"1400000US72143550200","Census Tract 5502, Vega Alta Municipio, Puerto Rico","19608","4034","21436","3394","22819","4406","8086","1986","16207","5072","17040","7927","-","**"
"1400000US72143550300","Census Tract 5503, Vega Alta Municipio, Puerto Rico","18598","1345","19732","2546","21108","5354","13807","4392","15802","4704","19982","9228","8350","1363"
"1400000US72143550400","Census Tract 5504, Vega Alta Municipio, Puerto Rico","17111","1280","16928","1327","18523","14789","-","**","17576","1755","19656","3231","6290","5744"
"1400000US72143550500","Census Tract 5505, Vega Alta Municipio, Puerto Rico","20368","3174","21579","4860","23802","5399","-","**","16859","7455","23375","3375","7022","1550"
"1400000US72143550601","Census Tract 5506.01, Vega Alta Municipio, Puerto Rico","13775","4283","11981","4539","17895","10736","7140","2227","15473","5233","19902","11121","5341","1836"
"1400000US72143550602","Census Tract 5506.02, Vega Alta Municipio, Puerto Rico","15958","2797","18769","3705","21952","3395","7465","3746","14139","1965","17128","2718","11674","2540"
"1400000US72143990000","Census Tract 9900, Vega Alta Municipio, Puerto Rico","-","**","-","**","-","**","-","**","-","**","-","**","-","**"
"1400000US72145560100","Census Tract 5601, Vega Baja Municipio, Puerto Rico","15179","2824","16089","4943","23110","7947","12150","7082","14489","4857","19191","7385","8221","1229"
"1400000US72145560201","Census Tract 5602.01, Vega Baja Municipio, Puerto Rico","25797","3582","25470","4464","26268","2253","-","**","26921","11364","36036","12713","2,500-","***"
"1400000US72145560204","Census Tract 5602.04, Vega Baja Municipio, Puerto Rico","20334","2142","20106","3030","22331","4430","8325","1877","20833","4879","29861","7316","-","**"
"1400000US72145560300","Census Tract 5603, Vega Baja Municipio, Puerto Rico","15602","2108","15079","2114","15934","4119","7670","3854","16322","3040","18620","1845","7981","2347"
"1400000US72145560401","Census Tract 5604.01, Vega Baja Municipio, Puerto Rico","25367","7886","19858","14054","26936","16608","-","**","26293","5430","30885","7660","8152","3147"
"1400000US72145560402","Census Tract 5604.02, Vega Baja Municipio, Puerto Rico","21364","4777","26990","4370","29792","7124","13417","10546","17423","2811","23681","4646","6634","1720"
"1400000US72145560500","Census Tract 5605, Vega Baja Municipio, Puerto Rico","18125","6586","21625","10118","-","**","21500","12277","14096","5231","-","**","-","**"
"1400000US72145560600","Census Tract 5606, Vega Baja Municipio, Puerto Rico","18341","4714","21842","6075","24798","2469","-","**","16276","3174","19957","6113","7465","4241"
"1400000US72145560701","Census Tract 5607.01, Vega Baja Municipio, Puerto Rico","21970","2842","19727","5023","22676","5767","6143","5375","22736","4733","22838","4566","-","**"
"1400000US72145560702","Census Tract 5607.02, Vega Baja Municipio, Puerto Rico","16776","1569","17370","2320","18203","3046","7273","3480","16181","2022","18737","4188","4275","1440"
"1400000US72145560801","Census Tract 5608.01, Vega Baja Municipio, Puerto Rico","18641","3656","17321","3528","18472","3176","2,500-","***","24688","23427","25662","19255","-","**"
"1400000US72145560802","Census Tract 5608.02, Vega Baja Municipio, Puerto Rico","17140","3239","18441","1860","20087","2745","8684","3535","15463","5914","17153","2830","-","**"
"1400000US72145560900","Census Tract 5609, Vega Baja Municipio, Puerto Rico","15953","2650","15726","2217","17488","1907","5363","1384","16356","5879","19464","9647","6818","3654"
"1400000US72145990000","Census Tract 9900, Vega Baja Municipio, Puerto Rico","-","**","-","**","-","**","-","**","-","**","-","**","-","**"
"1400000US72147950500","Census Tract 9505, Vieques Municipio, Puerto Rico","17425","1359","17560","1078","19080","5272","15932","6199","16926","12124","23841","23518","5654","1765"
"1400000US72147950600","Census Tract 9506, Vieques Municipio, Puerto Rico","15945","1788","16509","1841","17903","6707","10477","2127","11875","6386","19688","10621","6790","2614"
"1400000US72147990000","Census Tract 9900, Vieques Municipio, Puerto Rico","-","**","-","**","-","**","-","**","-","**","-","**","-","**"
"1400000US72149720100","Census Tract 7201, Villalba Municipio, Puerto Rico","12262","1487","11561","1311","15050","2032","8082","2724","15625","4020","20786","3712","8750","4760"
"1400000US72149720300","Census Tract 7203, Villalba Municipio, Puerto Rico","11682","1829","11503","3262","16518","3750","4401","1201","11849","2769","19537","5223","5032","1888"
"1400000US72149720400","Census Tract 7204, Villalba Municipio, Puerto Rico","13032","3467","13368","4793","20852","3269","3500","3453","12311","6550","21842","3544","4250","3930"
"1400000US72149720502","Census Tract 7205.02, Villalba Municipio, Puerto Rico","13696","3439","9392","6242","22935","9680","6042","1706","16475","8053","24539","5556","10875","7517"
"1400000US72149720503","Census Tract 7205.03, Villalba Municipio, Puerto Rico","16680","1100","17276","2629","22436","3518","9776","3691","16170","1332","22634","2802","4898","3705"
"1400000US72149720504","Census Tract 7205.04, Villalba Municipio, Puerto Rico","19622","3316","17373","5075","23010","2860","8028","4388","20705","3130","24266","6292","-","**"
