ID,Lat,LongW,Vg (mph),Vsust (mph),Lon
30097,17.98,67.120003,75.58,59.37,-67.120003
30098,17.98,67.110001,75.81,59.48,-67.110001
30099,17.98,67.099998,76.03,59.59,-67.099998
30100,17.98,67.089996,76.22,59.68,-67.089996
30101,17.98,67.080002,76.47,59.86,-67.080002
30102,17.98,67.07,76.47,59.7,-67.07
30103,17.98,67.059998,77.15,60.33,-67.059998
30104,17.98,67.050003,77.61,60.68,-67.050003
30105,17.98,67.040001,78.09,61.05,-67.040001
30106,17.98,67.029999,78.44,61.26,-67.029999
30107,17.98,67.019997,78.93,61.64,-67.019997
30108,17.98,67.010002,79.42,62.03,-67.010002
30109,17.98,67,79.91,62.41,-67
30110,17.98,66.989998,80.4,62.8,-66.989998
30111,17.98,66.980003,80.88,63.18,-66.980003
30112,17.98,66.970001,81.38,63.57,-66.970001
30113,17.98,66.959999,81.86,63.95,-66.959999
30114,17.98,66.949997,82.31,64.3,-66.949997
30115,17.98,66.940002,82.74,64.64,-66.940002
30116,17.98,66.93,83.17,64.98,-66.93
30117,17.98,66.919998,83.62,65.33,-66.919998
30118,17.98,66.910004,84.06,65.68,-66.910004
30119,17.98,66.900002,84.5,66.03,-66.900002
30120,17.98,66.889999,84.89,66.34,-66.889999
30121,17.98,66.879997,85.27,66.64,-66.879997
30122,17.98,66.870003,85.64,66.93,-66.870003
30123,17.98,66.860001,86,67.21,-66.860001
30124,17.98,66.849998,86.35,67.49,-66.849998
30125,17.98,66.839996,86.68,67.74,-66.839996
30126,17.98,66.830002,86.95,67.95,-66.830002
30127,17.98,66.82,87.21,68.16,-66.82
30128,17.98,66.809998,87.43,68.34,-66.809998
30130,17.98,66.790001,93.52,77.05,-66.790001
30133,17.98,66.760002,93.36,76.6,-66.760002
30135,17.98,66.739998,94.89,78.25,-66.739998
30138,17.98,66.709999,93.02,75.68,-66.709999
30139,17.98,66.699997,89.62,70.06,-66.699997
30140,17.98,66.690002,89.75,70.17,-66.690002
30141,17.98,66.68,89.88,70.27,-66.68
30142,17.98,66.669998,90.02,70.38,-66.669998
30143,17.98,66.660004,90.26,70.57,-66.660004
30144,17.98,66.650002,90.62,70.85,-66.650002
30145,17.98,66.639999,90.93,71.09,-66.639999
30146,17.98,66.629997,91.22,71.32,-66.629997
30147,17.98,66.620003,91.8,71.78,-66.620003
30148,17.98,66.610001,92.44,72.28,-66.610001
30149,17.98,66.599998,92.87,72.62,-66.599998
30150,17.98,66.589996,93.34,72.99,-66.589996
30151,17.98,66.580002,94.24,73.7,-66.580002
30152,17.98,66.57,95.04,74.34,-66.57
30153,17.98,66.559998,95.53,74.72,-66.559998
30154,17.98,66.550003,96.01,75.1,-66.550003
30155,17.98,66.540001,96.48,75.47,-66.540001
30156,17.98,66.529999,97.41,76.2,-66.529999
30157,17.98,66.519997,98.08,76.73,-66.519997
30164,17.98,66.449997,101.81,79.67,-66.449997
30165,17.98,66.440002,102.12,79.92,-66.440002
30166,17.98,66.43,102.73,80.4,-66.43
30167,17.98,66.419998,103.08,80.68,-66.419998
30168,17.98,66.410004,103.47,80.99,-66.410004
30169,17.98,66.400002,104.05,81.44,-66.400002
30170,17.98,66.389999,104.61,81.88,-66.389999
30171,17.98,66.379997,104.99,82.18,-66.379997
30172,17.98,66.370003,105.34,82.46,-66.370003
30173,17.98,66.360001,105.62,82.68,-66.360001
30174,17.98,66.349998,106.04,83.02,-66.349998
30175,17.98,66.339996,106.53,83.4,-66.339996
30176,17.98,66.330002,107,83.77,-66.330002
30177,17.98,66.32,107.31,84.02,-66.32
30178,17.98,66.309998,107.64,84.28,-66.309998
30179,17.98,66.300003,107.81,84.41,-66.300003
30180,17.98,66.290001,108.4,84.88,-66.290001
30181,17.98,66.279999,108.91,85.28,-66.279999
30182,17.98,66.269997,109.37,85.64,-66.269997
30183,17.98,66.260002,109.65,85.87,-66.260002
30184,17.98,66.25,109.85,86.02,-66.25
30185,17.98,66.239998,109.87,86.03,-66.239998
30186,17.98,66.230003,110.43,86.48,-66.230003
30187,17.98,66.220001,111.19,87.08,-66.220001
30188,17.98,66.209999,112.13,87.82,-66.209999
30189,17.98,66.199997,113.04,88.54,-66.199997
30190,17.98,66.190002,113.85,89.18,-66.190002
30191,17.98,66.18,114.62,89.79,-66.18
30192,17.98,66.169998,115.27,90.3,-66.169998
30193,17.98,66.160004,115.84,90.75,-66.160004
30194,17.98,66.150002,116.25,91.08,-66.150002
30195,17.98,66.139999,116.56,91.32,-66.139999
30196,17.98,66.129997,116.93,91.61,-66.129997
30197,17.98,66.120003,117.75,92.26,-66.120003
30198,17.98,66.110001,118.47,92.83,-66.110001
30199,17.98,66.099998,119.15,93.37,-66.099998
30200,17.98,66.089996,119.72,93.81,-66.089996
30201,17.98,66.080002,120.24,94.23,-66.080002
30202,17.98,66.07,120.64,94.54,-66.07
30203,17.98,66.059998,120.99,94.82,-66.059998
30204,17.98,66.050003,121.19,94.98,-66.050003
30205,17.98,66.040001,121.3,95.06,-66.040001
30206,17.98,66.029999,121.22,95,-66.029999
30207,17.98,66.019997,121.09,94.9,-66.019997
30208,17.98,66.010002,120.77,94.65,-66.010002
30209,17.98,66,120.37,94.33,-66
30210,17.98,65.989998,119.58,93.7,-65.989998
30211,17.98,65.980003,118.64,92.96,-65.980003
30212,17.98,65.970001,117.25,91.86,-65.970001
30213,17.98,65.959999,115.7,90.64,-65.959999
30214,17.98,65.949997,114.92,90.02,-65.949997
30215,17.98,65.940002,115.5,90.48,-65.940002
30216,17.98,65.93,115.98,92.2,-65.93
30217,17.98,65.919998,117,94.63,-65.919998
30218,17.98,65.910004,119.59,99.04,-65.910004
30529,17.99,67.209999,75.58,61.69,-67.209999
30530,17.99,67.199997,74.82,60.25,-67.199997
30531,17.99,67.190002,74.81,59.92,-67.190002
30532,17.99,67.18,74.95,59.84,-67.18
30533,17.99,67.169998,75.12,59.81,-67.169998
30534,17.99,67.160004,75.33,59.85,-67.160004
30535,17.99,67.150002,75.57,59.93,-67.150002
30536,17.99,67.139999,75.75,59.91,-67.139999
30537,17.99,67.129997,75.71,59.56,-67.129997
30538,17.99,67.120003,75.92,59.63,-67.120003
30539,17.99,67.110001,76.06,59.62,-67.110001
30540,17.99,67.099998,76.35,59.82,-67.099998
30541,17.99,67.089996,76.22,59.5,-67.089996
30542,17.99,67.080002,76.79,60.09,-67.080002
30543,17.99,67.07,77.07,60.29,-67.07
