censusid,tractid,poverty_rank,unemployed_rank,owner_rank,house_old_rank,dvi_raw,dvi
1400000US12009062600,12009062600,0.956051452,0.737773456,0.086143052,0.83635301,2.61632097,0.736358883
1400000US12009062800,12009062800,0.474566361,0.629460379,0.698791659,0.652055328,2.454873727,0.690731392
1400000US12009062900,12009062900,0.506041707,0.888964511,0.69343208,0.616306254,2.704744552,0.761348757
1400000US12009063000,12009063000,0.224322744,0.640544482,0.660007796,0.443697643,1.968572665,0.55329518
1400000US12009063102,12009063102,0.119567336,0.331550802,0.654160982,0.039450614,1.144729734,0.320464408
1400000US12009063104,12009063104,0.190703567,0.309285367,0.720912103,0.146113384,1.36701442,0.383285503
1400000US12009063105,12009063105,0.340674332,0.466407389,0.550087702,0.31375414,1.670923564,0.469174934
1400000US12009063106,12009063106,0.106509452,0.3033544,0.842915611,0.002045587,1.25482505,0.35157905
1400000US12009063107,12009063107,0.25014617,0.265921245,0.7053206,0.063023573,1.284411588,0.359940664
1400000US12009064102,12009064102,0.026700448,0.420709772,0.739427012,0.01811806,1.204955292,0.337485084
1400000US12009064123,12009064123,0.219158059,0.717452601,0.260378094,0.138612897,1.335601651,0.374407768
1400000US12009064124,12009064124,0.197135061,0.572581429,0.603196258,0.571985194,1.944897943,0.546604337
1400000US12009064125,12009064125,0.226661469,0.582304327,0.960728903,0.301383207,2.071077906,0.582264749
1400000US12009064126,12009064126,0.24858702,0.076227516,0.621223933,0.240697448,1.186735917,0.332336006
1400000US12009064127,12009064127,0.088579224,0.074963539,0.910056519,0.165010715,1.238609998,0.346996425
1400000US12009064128,12009064128,0.165075034,0.868838114,0.861040733,0.081141633,1.976095513,0.555421253
1400000US12009064201,12009064201,0.6128435,0.166067088,0.438608458,0.877751802,2.095270849,0.589102049
1400000US12009064202,12009064202,0.634086923,0.678755469,0.16897291,0.717124489,2.19893979,0.618400497
1400000US12009064301,12009064301,0.38150458,0.081088965,0.185928669,0.399571401,1.048093614,0.293153544
1400000US12009064302,12009064302,0.710582732,0.298492951,0.408010134,0.706019871,2.123105689,0.596968606
1400000US12009064400,12009064400,0.329857728,0.30043753,0.857824985,0.923436587,2.41155683,0.678489366
1400000US12009064500,12009064500,0.776359384,0.502284881,0.331416878,0.918566141,2.528627283,0.711575289
1400000US12009064601,12009064601,0.228707854,0.353038405,0.51880725,0.445938048,1.546491558,0.434008522
1400000US12009064602,12009064602,0.427791853,0.095187166,0.499122978,0.285408143,1.307510141,0.366468672
1400000US12009064700,12009064700,0.771292146,0.921147302,0.319625804,0.780732515,2.792797767,0.786233959
1400000US12009064800,12009064800,0.602611577,0.248906174,0.112453713,0.782388467,1.74635993,0.49049442
1400000US12009064901,12009064901,0.57084389,0.18006806,0.477684662,0.408533022,1.637129634,0.459624246
1400000US12009064902,12009064902,0.878873514,0.834321828,0.059832391,0.572569647,2.345597381,0.659848204
1400000US12009065001,12009065001,0.220912103,0.45785124,0.841843695,0.481394896,2.002001934,0.562742809
1400000US12009065021,12009065021,0.243227441,0.158969373,0.674624829,0.148451198,1.225272842,0.343227138
1400000US12009065022,12009065022,0.496199571,0.829557608,0.74732021,0.278979154,2.352056544,0.661673664
1400000US12009065121,12009065121,0.58809199,0.529995139,0.301598129,0.373173583,1.79285884,0.503635732
1400000US12009065122,12009065122,0.808711752,0.7620807,0.134963945,0.260666277,1.966422674,0.552687559
1400000US12009065123,12009065123,0.774215553,0.542245989,0.521048529,0.601207871,2.438717941,0.686165516
1400000US12009065124,12009065124,0.881991814,0.961011181,0.207172091,0.656925774,2.707100861,0.762014686
1400000US12009065125,12009065125,0.37711947,0.663393291,0.239719353,0.108318722,1.388550836,0.389372028
1400000US12009065201,12009065201,0.647047359,0.520661157,0.272169168,0.745373076,2.18525076,0.614531766
1400000US12009065202,12009065202,0.287955564,0.715799708,0.706684857,0.384862653,2.095302783,0.589111074
1400000US12009065231,12009065231,0.203469109,0.302965484,0.967452738,0.263588545,1.737475876,0.487983648
1400000US12009065234,12009065234,0.487234457,0.522897423,0.959656987,0.360900058,2.330688926,0.655634844
1400000US12009065235,12009065235,0.578249854,0.716188624,0.822061976,0.301870251,2.418370706,0.680415073
