censusid,tractid,poverty_rank,unemployed_rank,earnings_rank,owner_rank,house_old_rank,dvi_raw,dvi
1400000US12009064800,12009064800,0.602611577,0.248906174,0.675343668,0.112453713,0.782388467,2.421703598,0.521556856
1400000US12009064901,12009064901,0.57084389,0.18006806,0.531441942,0.477684662,0.408533022,2.168571576,0.463009827
1400000US12009064902,12009064902,0.878873514,0.834321828,0.92190699,0.059832391,0.572569647,3.267504371,0.71718253
1400000US12009065001,12009065001,0.220912103,0.45785124,0.251730525,0.841843695,0.481394896,2.253732459,0.482706729
1400000US12009065021,12009065021,0.243227441,0.158969373,0.320951545,0.674624829,0.148451198,1.546224387,0.319066841
1400000US12009065022,12009065022,0.496199571,0.829557608,0.318124208,0.74732021,0.278979154,2.670180752,0.579027258
1400000US12009065121,12009065121,0.58809199,0.529995139,0.751389295,0.301598129,0.373173583,2.544248135,0.549900242
1400000US12009065122,12009065122,0.808711752,0.7620807,0.837281856,0.134963945,0.260666277,2.80370453,0.609910038
1400000US12009065123,12009065123,0.774215553,0.542245989,0.843034026,0.521048529,0.601207871,3.281751967,0.720477863
1400000US12009065124,12009065124,0.881991814,0.961011181,0.98869065,0.207172091,0.656925774,3.695791512,0.816241272
1400000US12009065125,12009065125,0.37711947,0.663393291,0.51009067,0.239719353,0.108318722,1.898641506,0.400577569
1400000US12009065201,12009065201,0.647047359,0.520661157,0.842644048,0.272169168,0.745373076,3.027894808,0.661763117
1400000US12009065202,12009065202,0.287955564,0.715799708,0.291410744,0.706684857,0.384862653,2.386713527,0.513463985
1400000US12009065231,12009065231,0.203469109,0.302965484,0.396022229,0.967452738,0.263588545,2.133498105,0.454897666
1400000US12009065234,12009065234,0.487234457,0.522897423,0.627376426,0.959656987,0.360900058,2.958065352,0.645612228
1400000US12009065235,12009065235,0.578249854,0.716188624,0.96295213,0.822061976,0.301870251,3.381322836,0.743507658
1400000US12009065236,12009065236,0.217891249,0.466115702,0.396022229,0.99152212,0.252386519,2.32393782,0.498944561
1400000US12009066101,12009066101,0.071038784,0.04647545,0.138734523,0.896706295,0.644067797,1.797022848,0.37707414
1400000US12009066103,12009066103,0.365230949,0.12134176,0.50521595,0.752192555,0.119228521,1.863209735,0.392382537
1400000US12009066104,12009066104,0.115864354,0.667768595,0.247148289,0.830832196,0.194817845,2.05643128,0.437072843
1400000US12009066200,12009066200,0.212629117,0.350024307,0.094374573,0.833755603,0.758036236,2.248819837,0.481570486
1400000US12009066301,12009066301,0.244104463,0.464171123,0.296382958,0.542097057,0.399961036,1.946716638,0.411696889
1400000US12009066302,12009066302,0.181056324,0.13650948,0.11738325,0.840089651,0.668322618,1.943361324,0.410920837
1400000US12009066400,12009066400,0.48967063,0.651725814,0.337428098,0.653868642,0.582992402,2.715685585,0.589552093
1400000US12009066500,12009066500,0.338530501,0.704035002,0.435019986,0.55768856,0.48285603,2.518130079,0.543859384
1400000US12009066600,12009066600,0.122490743,0.269518717,0.135907185,0.910836094,0.740015585,2.178768324,0.465368237
1400000US12009066700,12009066700,0.079516663,0.448420029,0.220142342,0.541512376,0.808396649,2.097988059,0.446684531
1400000US12009066800,12009066800,0.238160203,0.171998055,0.108316272,0.17209121,0.412916423,1.103482163,0.216664776
1400000US12009066900,12009066900,0.117326057,0.558580457,0.294140587,0.821574742,0.81823495,2.609856793,0.5650749
1400000US12009067100,12009067100,0.370687975,0.608847837,0.648825193,0.003020854,0.157218001,1.788599859,0.375125983
1400000US12009068101,12009068101,0.534983434,0.385901799,0.484937116,0.21818359,0.764465225,2.388471164,0.51387051
1400000US12009068102,12009068102,0.148606509,0.174039864,0.223554646,0.681641006,0.646795246,1.874637271,0.395025618
1400000US12009068200,12009068200,0.215649971,0.210014584,0.325241299,0.588579224,0.668420027,2.007905105,0.4258492
1400000US12009068300,12009068300,0.154745664,0.093728731,0.508043288,0.490937439,0.488895383,1.736350504,0.363041204
1400000US12009068400,12009068400,0.311732606,0.828488089,0.52295993,0.490547652,0.68712254,2.840850817,0.618501621
1400000US12009068501,12009068501,0.246540635,0.05493437,0.469533002,0.33073475,0.434443795,1.536186552,0.316745185
1400000US12009068502,12009068502,0.483726369,0.246864366,0.657697182,0.143052037,0.763880771,2.295220725,0.49230257
1400000US12009068601,12009068601,0.393490548,0.365678172,0.388417666,0.535957903,0.429573349,2.113117638,0.450183858
1400000US12009068602,12009068602,0.727830832,0.226835197,0.265769718,0.389397778,0.333333333,1.943166859,0.410875859
1400000US12009069100,12009069100,0.117033717,0.624890617,0.220532319,0.976417852,0.681375414,2.62024992,0.567478731
1400000US12009069200,12009069200,0.351490937,0.493923189,0.576484352,0.524556617,0.877556984,2.82401208,0.614606981
1400000US12009069300,12009069300,0.455076983,0.245114244,0.423710637,0.837263691,0.598675239,2.559840794,0.553506675
1400000US12009069400,12009069400,0.069479634,0.622362664,0.123232914,0.936172286,0.40142217,2.152669668,0.459331867
1400000US12009069700,12009069700,0.713408692,0.919786096,0.789997075,0.353634769,0.76222482,3.539051453,0.779988787
1400000US12009069801,12009069801,0.157961411,0.165580943,0.247440772,0.946209316,0.574712644,2.091905086,0.445277597
1400000US12009069802,12009069802,0.693334633,0.867476908,0.865555231,0.381407133,0.857588155,3.66536206,0.809203229
1400000US12009069901,12009069901,0.268563633,0.545843461,0.120405577,0.7601832,0.139879213,1.834875084,0.385829002
1400000US12009069902,12009069902,0.5579809,0.51939718,0.570634689,0.309588774,0.564095071,2.521696615,0.544684289
1400000US12009071100,12009071100,0.422822062,0.32698104,0.501608658,0.974761255,0.143093707,2.369266722,0.509428705
1400000US12009071200,12009071200,0.246735529,0.801652893,0.167690358,0.809004093,0.037015391,2.062098263,0.438383562
1400000US12009071301,12009071301,0.181641006,0.082741857,0.156186019,0.908497369,0.189557763,1.518624014,0.312683137
1400000US12009071322,12009071322,0.60816605,0.521438989,0.70468948,0.521828104,0.082700175,2.438822798,0.525516364
1400000US12009071332,12009071332,0.590138375,0.862615459,0.634786,0.575716235,0.030099357,2.693355426,0.58438734
1400000US12009071334,12009071334,0.43042292,0.299854157,0.492736668,0.716819333,0.133547633,2.07338071,0.440993085
